"gid","szs","szsq","szq","xzjb","yygs"
21244,江西省,萍乡市,上栗县,国家,""
21245,湖南省,株洲市,芦淞区,国家,""
21247,广东省,茂名市,茂南区,国家,中石化
21248,广西壮族自治区,桂林市,临桂区,国家,""
21249,宁夏回族自治区,固原市,隆德县,国家,""
21250,四川省,广元市,利州区,国家,""
21251,江西省,宜春市,袁州区,国家,中石油
21252,广西壮族自治区,柳州市,柳北区,国家,中石化
21253,广西壮族自治区,桂林市,临桂区,国家,""
21254,广西壮族自治区,柳州市,柳城县,国家,""
21255,广西壮族自治区,桂林市,永福县,国家,""
21257,湖北省,恩施土家族苗族自治州,利川市,省,""
21258,湖北省,荆州市,监利市,国家,国家管网集团新疆煤制天然气外输管道有限责任公司
21259,湖北省,恩施土家族苗族自治州,利川市,省,""
21260,江苏省,常州市,金坛区,国家,中石化
21261,江苏省,南京市,六合区,国家,中石化
21262,江苏省,镇江市,句容市,国家,中石化
21263,江苏省,南京市,栖霞区,国家,中石化
21264,新疆维吾尔自治区,乌鲁木齐市,沙依巴克区,国家,中石油
21265,新疆维吾尔自治区,乌鲁木齐市,米东区,国家,中石油
21266,广东省,深圳市,宝安区,国家,""
21269,山西省,吕梁市,临县,国家,中石油
21271,河北省,石家庄市,井陉县,国家,中石油
21281,新疆维吾尔自治区,博尔塔拉蒙古自治州,精河县,国家,中石油
21282,新疆维吾尔自治区,乌鲁木齐市,乌鲁木齐县,国家,中石油
21283,甘肃省,酒泉市,瓜州县,国家,中石油
21284,甘肃省,嘉峪关市,嘉峪关市,国家,中石油
21285,新疆维吾尔自治区,塔城地区,乌苏市,国家,中石油
21287,宁夏回族自治区,中卫市,沙坡头区,国家,中石油
21288,新疆维吾尔自治区,塔城地区,沙湾市,国家,中石油
21290,江苏省,无锡市,滨湖区,国家,""
21291,山西省,晋城市,泽州县,国家,""
21292,河南省,郑州市,中原区,国家,""
21293,安徽省,淮南市,大通区,国家,""
21294,山西省,临汾市,吉县,国家,""
21295,山西省,晋城市,沁水县,国家,""
21296,上海市,上海市,青浦区,国家,""
21297,河南省,开封市,祥符区,国家,中石化
21298,河南省,开封市,顺河回族区,国家,中石化
21299,山东省,菏泽市,东明县,国家,中石化
21300,陕西省,榆林市,榆阳区,国家,中石化
21301,吉林省,辽源市,龙山区,国家,中石油
21302,吉林省,通化市,东昌区,国家,中石油
21303,吉林省,白山市,浑江区,国家,中石油
21304,吉林省,通化市,梅河口市,国家,中石油
21305,广东省,东莞市,东莞市,国家,中石油
21306,河北省,廊坊市,香河县,国家,中石油
21308,北京市,北京市,平谷区,国家,中石油
21309,甘肃省,张掖市,甘州区,国家,中石油
21310,甘肃省,武威市,古浪县,国家,中石油
21311,广东省,潮州市,潮安区,国家,中石油
21312,广东省,惠州市,博罗县,国家,中石油
21313,甘肃省,酒泉市,敦煌市,国家,""
21314,新疆维吾尔自治区,哈密市,伊州区,国家,""
21315,甘肃省,酒泉市,玉门市,国家,""
21316,新疆维吾尔自治区,吐鲁番市,高昌区,国家,""
21317,辽宁省,铁岭市,开原市,国家,""
21318,辽宁省,铁岭市,铁岭县,国家,""
21319,辽宁省,沈阳市,沈北新区,国家,""
21320,吉林省,长春市,宽城区,国家,""
21321,辽宁省,沈阳市,于洪区,国家,中石油
21322,吉林省,长春市,公主岭市,国家,""
21323,吉林省,四平市,梨树县,国家,""
21324,辽宁省,铁岭市,昌图县,国家,""
21325,江苏省,扬州市,高邮市,国家,中石化
21326,江苏省,扬州市,宝应县,国家,中石化
21327,江苏省,扬州市,邗江区,国家,中石化
21328,江苏省,淮安市,淮阴区,国家,中石化
21329,安徽省,滁州市,琅琊区,国家,""
21330,安徽省,滁州市,定远县,国家,""
21331,安徽省,亳州市,利辛县,国家,""
21333,甘肃省,酒泉市,瓜州县,国家,""
21334,甘肃省,张掖市,民乐县,国家,""
21335,河南省,焦作市,博爱县,国家,""
21336,江苏省,常州市,新北区,国家,""
21338,新疆维吾尔自治区,吐鲁番市,鄯善县,国家,中石油
21339,新疆维吾尔自治区,巴音郭楞蒙古自治州,博湖县,国家,""
21340,陕西省,延安市,延川县,国家,""
21341,甘肃省,金昌市,永昌县,国家,""
21342,甘肃省,武威市,凉州区,国家,""
21343,甘肃省,张掖市,肃南裕固族自治县,国家,""
21344,陕西省,榆林市,定边县,国家,""
21345,青海省,西宁市,湟中区,国家,中石油
21346,江苏省,徐州市,邳州市,国家,中石油
21347,山东省,泰安市,岱岳区,国家,中石油
21348,江苏省,常州市,武进区,国家,中石油
21349,湖南省,郴州市,北湖区,国家,""
21351,广东省,韶关市,乐昌市,国家,""
21352,广东省,韶关市,浈江区,国家,中石化
21353,湖北省,十堰市,张湾区,国家,""
21354,湖北省,潜江市,潜江市,国家,中国石油化工股份有限公司江汉油田分公司
21355,湖南省,长沙市,长沙县,国家,""
21356,湖南省,衡阳市,衡南县,国家,""
21358,湖北省,襄阳市,老河口市,省,湖北省天然气发展有限公司
21360,湖北省,襄阳市,枣阳市,国家,""
21361,河北省,衡水市,安平县,国家,中石油
21362,甘肃省,临夏回族自治州,永靖县,国家,中石油
21363,山东省,济宁市,泗水县,国家,中石油
21364,湖南省,长沙市,长沙县,国家,""
21365,山东省,青岛市,即墨区,国家,中石油
21366,江苏省,泰州市,靖江市,国家,中石油
21367,河南省,濮阳市,濮阳县,国家,中石化
21368,内蒙古自治区,阿拉善盟,阿拉善左旗,国家,中石油
21371,河北省,衡水市,冀州区,国家,中石化
21373,河南省,濮阳市,南乐县,国家,中石化
21374,河北省,邯郸市,馆陶县,国家,中石化
21375,天津市,天津市,滨海新区,国家,中石化
21377,山东省,聊城市,东昌府区,国家,中石化
21378,河南省,安阳市,安阳县,国家,中石化
21379,陕西省,榆林市,佳县,国家,中石化
21380,山西省,晋中市,平遥县,国家,中石化
21381,福建省,厦门市,集美区,国家,中石油
21382,福建省,厦门市,同安区,国家,中石油
21383,福建省,莆田市,仙游县,国家,中石油
21384,福建省,福州市,福清市,国家,中石油
21385,江苏省,苏州市,吴江区,国家,中石油
21386,广东省,清远市,清城区,国家,中石油
21387,浙江省,杭州市,钱塘区,国家,中石油
21389,湖南省,娄底市,涟源市,国家,""
21390,湖南省,湘潭市,湘乡市,国家,""
21391,湖南省,湘潭市,雨湖区,国家,""
21392,江西省,上饶市,广信区,国家,中石油
21393,重庆市,重庆市,南川区,国家,""
21394,广东省,湛江市,廉江市,国家,中石化
21396,湖北省,襄阳市,襄州区,国家,""
21397,新疆维吾尔自治区,哈密市,伊州区,国家,中石油
21398,湖南省,娄底市,娄星区,国家,""
21399,湖南省,长沙市,长沙县,国家,""
21400,湖南省,长沙市,望城区,国家,""
21401,甘肃省,武威市,凉州区,国家,中石油
21402,新疆维吾尔自治区,吐鲁番市,鄯善县,国家,中石油
21403,新疆维吾尔自治区,塔城地区,乌苏市,国家,中石油
21404,新疆维吾尔自治区,昌吉回族自治州,昌吉市,国家,中石油
21406,新疆维吾尔自治区,伊犁哈萨克自治州,霍尔果斯市,国家,中石油
21407,福建省,福州市,闽侯区,国家,中石油
21408,新疆维吾尔自治区,巴音郭楞蒙古自治州,库尔勒市,国家,中石油
21409,新疆维吾尔自治区,巴音郭楞蒙古自治州,轮台县,国家,中石油
21410,新疆维吾尔自治区,哈密市,伊州区,国家,中石油
21411,湖南省,岳阳市,云溪区,国家,""
21412,上海市,上海市,金山区,国家,中石油
21413,广西壮族自治区,来宾市,兴宾区,国家,""
21414,甘肃省,金昌市,永昌县,国家,中石油
21415,新疆维吾尔自治区,哈密市,伊州区,国家,中石油
21416,甘肃省,酒泉市,敦煌市,国家,中石油
21417,江西省,鹰潭市,余江区,国家,中石油
21418,山西省,长治市,黎城县,国家,中石化
21419,山西省,吕梁市,汾阳市,国家,中石化
21420,山西省,长治市,武乡县,国家,中石化
21421,福建省,漳州市,龙文区,国家,中石油
21422,广东省,广州市,从化区,国家,中石油
21423,新疆维吾尔自治区,吐鲁番市,托克逊县,国家,中石油
21424,浙江省,金华市,兰溪市,国家,中石油
21425,江西省,赣州市,于都县,国家,中石油
21426,江西省,新余市,渝水区,国家,中石油
21427,浙江省,衢州市,柯城区,国家,中石油
21428,山西省,吕梁市,方山县,国家,中石化
21429,新疆维吾尔自治区,巴音郭楞蒙古自治州,和硕县,国家,中石油
21430,江西省,上饶市,广信区,国家,中石油
21431,浙江省,绍兴市,诸暨市,国家,中石油
21432,甘肃省,张掖市,山丹县,国家,中石油
21433,江西省,赣州市,瑞金市,国家,中石油
21434,福建省,泉州市,南安市,国家,中石油
21435,福建省,龙岩市,新罗区,国家,中石油
21436,广东省,肇庆市,四会市,国家,中石油
21437,浙江省,嘉兴市,秀洲区,国家,中石油
21438,江苏省,苏州市,昆山市,国家,中石油
21439,江西省,宜春市,樟树市,国家,中石油
21440,江西省,鹰潭市,贵溪市,国家,中石油
21441,湖北省,咸宁市,赤壁市,省,湖北省天然气发展有限公司
21442,湖北省,孝感市,应城市,省,湖北省天然气发展有限公司
21443,湖北省,天门市,天门市,省,湖北省天然气发展有限公司
21444,湖北省,孝感市,孝昌县,省,孝昌新洁天然气有限公司
21445,湖北省,孝感市,孝昌县,国家,""
21446,湖北省,孝感市,云梦县,省,湖北省天然气发展有限公司
21447,湖北省,黄石市,大冶市,国家,""
21448,湖北省,咸宁市,嘉鱼县,省,湖北省天然气发展有限公司
21449,湖南省,岳阳市,岳阳县,国家,""
21450,湖南省,长沙市,长沙县,国家,""
21451,湖北省,荆门市,京山市,省,湖北省天然气发展有限公司
21452,湖北省,襄阳市,樊城区,国家,""
21453,湖北省,宜昌市,枝江市,国家,""
21454,湖北省,宜昌市,猇亭区,国家,""
21455,湖北省,宜昌市,猇亭区,国家,""
21456,湖北省,黄冈市,黄州区,国家,""
21457,湖北省,黄石市,大冶市,国家,""
21458,湖北省,黄冈市,武穴市,国家,""
21459,湖北省,黄冈市,黄梅县,国家,""
21460,湖北省,襄阳市,枣阳市,国家,""
21461,湖北省,荆州市,石首市,省,湖北省天然气发展有限公司
21462,湖北省,宜昌市,夷陵区,省,宜昌中基天然气利用有限公司
21463,湖北省,武汉市,江夏区,省,湖北省天然气发展有限公司
21464,湖北省,武汉市,江夏区,国家,""
21465,湖北省,咸宁市,崇阳县,省,湖北省天然气发展有限公司
21466,湖北省,咸宁市,通山县,省,湖北省天然气发展有限公司
21467,湖北省,荆州市,公安县,省,湖北省天然气发展有限公司
21468,湖北省,荆州市,江陵县,省,湖北省天然气发展有限公司
21469,湖北省,潜江市,潜江市,省,湖北省天然气发展有限公司
21470,湖北省,武汉市,武昌区,省,武汉市天然气有限公司
21471,湖北省,随州市,广水市,省,湖北省天然气发展有限公司
21472,湖北省,荆门市,京山市,国家,""
21473,湖北省,宜昌市,猇亭区,国家,""
21476,湖北省,黄冈市,武穴市,国家,""
21478,湖北省,恩施土家族苗族自治州,利川市,国家,""
21479,湖北省,恩施土家族苗族自治州,恩施市,国家,""
21480,湖北省,恩施土家族苗族自治州,巴东县,国家,""
21481,湖北省,襄阳市,襄城区,国家,中石油
21482,四川省,泸州市,泸县,国家,""
21483,四川省,内江市,东兴区,国家,""
21484,四川省,内江市,威远县,国家,""
21485,山东省,烟台市,莱阳市,国家,""
21489,广西壮族自治区,河池市,金城江区,国家,""
21490,广西壮族自治区,防城港市,港口区,国家,""
21491,广西壮族自治区,钦州市,钦南区,国家,""
21492,广西壮族自治区,来宾市,兴宾区,国家,中石化
21493,贵州省,安顺市,普定县,国家,""
21495,云南省,楚雄彝族自治州,禄丰市,国家,""
21496,广西壮族自治区,河池市,环江毛南族自治县,国家,""
21497,云南省,曲靖市,马龙区,国家,""
21498,宁夏回族自治区,固原市,西吉县,国家,""
21499,广西壮族自治区,南宁市,邕宁区,国家,中石化
21500,贵州省,黔南布依族苗族自治州,都匀市,国家,""
21501,重庆市,重庆市,铜梁区,国家,""
21502,陕西省,榆林市,榆阳区,国家,中石化
21503,广西壮族自治区,来宾市,忻城县,国家,""
21504,广西壮族自治区,钦州市,钦北区,国家,中石化
21505,湖北省,荆州市,监利市,国家,""
21506,湖北省,黄石市,下陆区,国家,""
21507,湖北省,恩施土家族苗族自治州,恩施市,国家,""
21508,湖北省,武汉市,江夏区,国家,""
21511,湖北省,荆门市,掇刀区,国家,中石油
21512,湖北省,武汉市,蔡甸区,国家,""
21513,甘肃省,天水市,秦州区,国家,""
21514,甘肃省,陇南市,武都区,国家,""
21515,广西壮族自治区,贺州市,平桂区,国家,""
21516,湖北省,宜昌市,长阳土家族自治县,国家,""
21517,甘肃省,临夏回族自治州,永靖县,国家,中石油
21518,青海省,海西蒙古族藏族自治州,乌兰县,国家,中石油
21519,河北省,沧州市,黄骅市,国家,中石化
21520,广西壮族自治区,梧州市,万秀区,国家,""
21521,湖北省,宜昌市,长阳土家族自治县,国家,""
21522,江苏省,南通市,海门区,国家,""
21523,上海市,上海市,崇明区,国家,""
21524,山东省,潍坊市,临朐县,国家,""
21526,湖北省,宜昌市,枝江市,国家,""
21528,湖北省,宜昌市,猇亭区,国家,""
21529,湖北省,潜江市,潜江市,国家,""
21531,湖北省,荆州市,荆州区,国家,""
21532,湖北省,潜江市,潜江市,国家,""
21533,湖北省,恩施土家族苗族自治州,恩施市,国家,""
21535,湖北省,仙桃市,仙桃市,国家,""
21536,湖北省,荆州市,沙市区,国家,""
21537,山东省,威海市,环翠区,国家,中石油
21538,河南省,信阳市,潢川县,国家,中石油
21540,湖南省,岳阳市,岳阳楼区,国家,""
21541,江苏省,宿迁市,宿城区,国家,中石油
21543,江苏省,扬州市,宝应县,国家,中石油
21544,江苏省,扬州市,广陵区,国家,中石油
21545,山东省,烟台市,海阳市,国家,中石油
21546,山东省,潍坊市,坊子区,国家,中石油
21547,山东省,烟台市,莱山区,国家,中石油
21548,江苏省,南通市,如东县,国家,中石油
21549,青海省,海西蒙古族藏族自治州,乌兰县,国家,中石油
21550,湖北省,鄂州市,鄂城区,国家,
21551,山东省,潍坊市,高密市,国家,中石油
21552,山东省,烟台市,莱阳市,国家,中石油
21553,山东省,济南市,莱芜区,国家,中石油
21554,河北省,石家庄市,新乐市,国家,中石化
21556,山东省,济南市,历城区,国家,中石化
21559,江苏省,宿迁市,泗阳县,国家,中石油
21561,山东省,济南市,长清区,国家,中石油
21562,山东省,济宁市,兖州区,国家,中石油
21563,河北省,衡水市,桃城区,国家,中石油
21564,山东省,淄博市,博山区,国家,中石油
21565,山东省,枣庄市,市中区,国家,中石油
21568,河北省,沧州市,献县,国家,中石化
21569,青海省,海西蒙古族藏族自治州,格尔木市,国家,中石油
21570,青海省,海东市,乐都区,国家,中石油
