"gid","mc","bm","x","y","czfl","szs","szsq","szq","xzjb","yygs"
21556,济南输气站,"010102005000181",117.23965249927826,36.80150611252702,分输站,山东省,济南市,历城区,国家,中石化
29787,昂昂溪末站,"010102003000069",123.79884961558523,47.1325891588445,末站,黑龙江省,齐齐哈尔市,昂昂溪区,国家,中石油
29818,李桥末站,"010102003000074",116.6309171375091,40.05289466253935,末站,北京市,北京市,顺义区,国家,中石油
28985,吉化末站,"010102003000083",126.89854554700833,43.85643762045113,末站,吉林省,吉林市,蛟河市,,中石油
28979,广西石化末站,"010102003000084",108.76405281249806,21.662329500863542,末站,广西壮族自治区,钦州市,钦南区,,中石油
28980,北海末站,"010102003000085",109.16870254884705,21.5081740153113,末站,广西壮族自治区,北海市,海城区,,中石油
21390,湘韶分输站,"010102005000126",112.48462410013666,27.861098371389957,分输站,湖南省,湘潭市,湘乡市,国家,""
27478,大韩寨,"010102007000011",116.3337495987047,39.40779063105977,阀室,河北省,廊坊市,固安县,,中石油
21936,"1#","010102007000358",112.90373251024104,30.138168606944713,阀室,湖北省,荆州市,监利市,国家,中石油
21116,芜湖末站,"010102003000002",118.48071512915106,31.457798088372492,末站,安徽省,马鞍山市,当涂县,国家,中石油
21124,长兴末站,"010102003000003",119.94539524795243,30.961248836772125,末站,浙江省,湖州市,长兴县,国家,中石油
21490,防城港末站,"010102003000036",108.43982529094906,21.6186076460265,末站,广西壮族自治区,防城港市,港口区,国家,""
31703,喀左末站,"010102003000096",119.67248337166278,41.03744869033949,末站,辽宁省,朝阳市,喀喇沁左翼蒙古族自治县,,
21515,贺州末站,"010102003000037",111.57971336543817,24.5255275908704,末站,广西壮族自治区,贺州市,平桂区,国家,""
21668,伊宁首站,"010102004000011",81.76461619289032,44.008180616792195,首站,新疆维吾尔自治区,伊犁哈萨克自治州,伊宁县,国家,中石油
35210,红河末站,"010102006000090",103.20359356327734,23.519761925473293,末站,云南省,红河哈尼族彝族自治州,个旧市,,
34775,横州分输站,"010102005000465",109.2046008346865,22.684292956840945,分输站,广西壮族自治区,来宾市,横州市,,
21911,"98#","010102007000334",112.3306482377081,35.53602859414986,阀室,山西省,晋城市,阳城县,国家,""
21912,"99#","010102007000335",112.46854901133369,35.465365155733174,阀室,山西省,晋城市,阳城县,国家,""
21913,"100#","010102007000336",112.75008287819445,35.28437682636129,阀室,山西省,晋城市,泽州县,国家,""
21393,南川,"010102005000307",107.07938385144195,29.128205687039614,分输站,重庆市,重庆市,南川区,国家,""
21537,威海分输清管站,"010102006000034",122.04983427413379,37.39711311448,分输清管站,山东省,威海市,环翠区,国家,中石油
